EMB_SIZE,iter,macro_avg
16,0,0.715374
16,1,0.740902
16,2,0.759969
16,3,0.702024
16,4,0.637003
32,0,0.743918
32,1,0.736968
32,2,0.77575
32,3,0.778429
32,4,0.784937
64,0,0.792391
64,1,0.75661
64,2,0.75698
64,3,0.693412
64,4,0.755096
128,0,0.738991
128,1,0.732262
128,2,0.712498
128,3,0.601508
128,4,0.702411
,,
,,
,,
,,
,,
