NUERON_SIZE,iter,macro_avg
100,0,0.711519
100,1,0.689975
100,2,0.721637
100,3,0.625935
100,4,0.528379
200,0,0.74011
200,1,0.76109
200,2,0.64846
200,3,0.767098
200,4,0.701066
300,0,0.702592
300,1,0.688033
300,2,0.768453
300,3,0.728064
300,4,0.767578
400,0,0.791378
400,1,0.71889
400,2,0.71798
400,3,0.70958
400,4,0.725174
500,0,0.699261
500,1,0.724612
500,2,0.711126
500,3,0.710014
500,4,0.757502
